Indicator,"Prescription opioid painkiller sales in kilograms per 100,000 people by oxycodone and hydrocodone"
Source,"U.S. Drug Enforcement Agency's Automated Reports and Consolidated Ordering System (ARCOS) Retail Drug Summary Reports.<br />
<br />
Suggested Citation:<br />
SHADAC analysis of [DATA SOURCE], State Health Compare, SHADAC, University of Minnesota, statehealthcompare.shadac.org, Accessed [DATE]."
Notes,"The DEA ARCOS system records legal transactions of controlled substances, such as prescription opioids. Although there are other prescription opioids, oxycodone (also known by the brand names "Oxycontin" and "Percocet") and hydrocodone (also known by the brand names "Vicodin" and "Lortab") are the most common according to DEA ARCOS data."
Description,"Annual kilograms sold of oxycodone and hydrocodone per 100,000 people.<br />"
25,Massachusetts,Oxycodone,2007,"Rate per 100,000",19.07283,
25,Massachusetts,Oxycodone,2008,"Rate per 100,000",19.04295,
25,Massachusetts,Oxycodone,2009,"Rate per 100,000",20.47686,
25,Massachusetts,Oxycodone,2010,"Rate per 100,000",20.85514,
25,Massachusetts,Oxycodone,2011,"Rate per 100,000",21.87323,
25,Massachusetts,Oxycodone,2012,"Rate per 100,000",22.40021,
25,Massachusetts,Oxycodone,2013,"Rate per 100,000",22.12583,
25,Massachusetts,Oxycodone,2014,"Rate per 100,000",20.93388,
25,Massachusetts,Oxycodone,2015,"Rate per 100,000",19.80057,
25,Massachusetts,Oxycodone,2016,"Rate per 100,000",17.11869,
25,Massachusetts,Hydrocodone,2000,"Rate per 100,000",2.36889,
25,Massachusetts,Hydrocodone,2001,"Rate per 100,000",2.23698,
25,Massachusetts,Hydrocodone,2002,"Rate per 100,000",2.76736,
25,Massachusetts,Hydrocodone,2003,"Rate per 100,000",3.09321,
25,Massachusetts,Hydrocodone,2004,"Rate per 100,000",2.90151,
25,Massachusetts,Hydrocodone,2005,"Rate per 100,000",3.41921,
25,Massachusetts,Hydrocodone,2006,"Rate per 100,000",3.28476,
25,Massachusetts,Hydrocodone,2007,"Rate per 100,000",3.89059,
25,Massachusetts,Hydrocodone,2008,"Rate per 100,000",4.04891,
25,Massachusetts,Hydrocodone,2009,"Rate per 100,000",4.24996,
25,Massachusetts,Hydrocodone,2010,"Rate per 100,000",3.94668,
25,Massachusetts,Hydrocodone,2011,"Rate per 100,000",4.22939,
25,Massachusetts,Hydrocodone,2012,"Rate per 100,000",3.86966,
25,Massachusetts,Hydrocodone,2013,"Rate per 100,000",3.67242,
25,Massachusetts,Hydrocodone,2014,"Rate per 100,000",3.29021,
25,Massachusetts,Hydrocodone,2015,"Rate per 100,000",2.6305,
25,Massachusetts,Hydrocodone,2016,"Rate per 100,000",2.14886,
25,Massachusetts,Oxycodone,2017,"Rate per 100,000",14.65161,
25,Massachusetts,Hydrocodone,2017,"Rate per 100,000",1.84296,
26,Michigan,Hydrocodone,2017,"Rate per 100,000",15.96582,
26,Michigan,Oxycodone,2017,"Rate per 100,000",12.02877,
26,Michigan,Hydrocodone,2016,"Rate per 100,000",18.01098,
26,Michigan,Hydrocodone,2015,"Rate per 100,000",19.22389,
26,Michigan,Hydrocodone,2014,"Rate per 100,000",20.84969,
26,Michigan,Hydrocodone,2013,"Rate per 100,000",20.81288,
26,Michigan,Hydrocodone,2012,"Rate per 100,000",21.20735,
26,Michigan,Hydrocodone,2011,"Rate per 100,000",20.79718,
26,Michigan,Hydrocodone,2010,"Rate per 100,000",18.66694,
26,Michigan,Hydrocodone,2009,"Rate per 100,000",16.91103,
26,Michigan,Hydrocodone,2008,"Rate per 100,000",15.35059,
26,Michigan,Hydrocodone,2007,"Rate per 100,000",14.19197,
26,Michigan,Hydrocodone,2006,"Rate per 100,000",11.81165,
26,Michigan,Hydrocodone,2005,"Rate per 100,000",10.11047,
26,Michigan,Hydrocodone,2004,"Rate per 100,000",9.65162,
26,Michigan,Hydrocodone,2003,"Rate per 100,000",9.11951,
26,Michigan,Hydrocodone,2002,"Rate per 100,000",7.84013,
26,Michigan,Hydrocodone,2001,"Rate per 100,000",6.19496,
26,Michigan,Hydrocodone,2000,"Rate per 100,000",5.47137,
26,Michigan,Oxycodone,2016,"Rate per 100,000",13.65178,
26,Michigan,Oxycodone,2015,"Rate per 100,000",14.49915,
26,Michigan,Oxycodone,2014,"Rate per 100,000",14.0856,
26,Michigan,Oxycodone,2013,"Rate per 100,000",13.74408,
26,Michigan,Oxycodone,2012,"Rate per 100,000",13.92862,
26,Michigan,Oxycodone,2011,"Rate per 100,000",12.62261,
26,Michigan,Oxycodone,2010,"Rate per 100,000",13.75006,
26,Michigan,Oxycodone,2009,"Rate per 100,000",12.78044,
26,Michigan,Oxycodone,2008,"Rate per 100,000",11.85291,
26,Michigan,Oxycodone,2007,"Rate per 100,000",10.11156,
26,Michigan,Oxycodone,2006,"Rate per 100,000",8.63694,
26,Michigan,Oxycodone,2005,"Rate per 100,000",7.09697,
26,Michigan,Oxycodone,2004,"Rate per 100,000",7.25748,
26,Michigan,Oxycodone,2003,"Rate per 100,000",6.6753,
26,Michigan,Oxycodone,2002,"Rate per 100,000",5.73382,
26,Michigan,Oxycodone,2001,"Rate per 100,000",5.61806,
26,Michigan,Oxycodone,2000,"Rate per 100,000",4.44692,
27,Minnesota,Oxycodone,2000,"Rate per 100,000",3.5853,
27,Minnesota,Oxycodone,2001,"Rate per 100,000",4.77149,
27,Minnesota,Oxycodone,2002,"Rate per 100,000",5.45725,
27,Minnesota,Oxycodone,2003,"Rate per 100,000",6.80068,
27,Minnesota,Oxycodone,2004,"Rate per 100,000",7.43234,
27,Minnesota,Oxycodone,2005,"Rate per 100,000",7.97365,
27,Minnesota,Oxycodone,2006,"Rate per 100,000",8.76522,
27,Minnesota,Oxycodone,2007,"Rate per 100,000",9.46092,
27,Minnesota,Oxycodone,2008,"Rate per 100,000",10.57159,
27,Minnesota,Oxycodone,2009,"Rate per 100,000",11.62378,
27,Minnesota,Oxycodone,2010,"Rate per 100,000",11.78862,
27,Minnesota,Oxycodone,2011,"Rate per 100,000",12.5112,
27,Minnesota,Oxycodone,2012,"Rate per 100,000",12.97073,
27,Minnesota,Oxycodone,2013,"Rate per 100,000",12.69953,
27,Minnesota,Oxycodone,2014,"Rate per 100,000",13.26882,
27,Minnesota,Oxycodone,2015,"Rate per 100,000",13.15417,
27,Minnesota,Oxycodone,2016,"Rate per 100,000",12.25218,
27,Minnesota,Hydrocodone,2000,"Rate per 100,000",1.71423,
27,Minnesota,Hydrocodone,2001,"Rate per 100,000",2.07171,
27,Minnesota,Hydrocodone,2002,"Rate per 100,000",2.49301,
27,Minnesota,Hydrocodone,2003,"Rate per 100,000",3.04271,
27,Minnesota,Hydrocodone,2004,"Rate per 100,000",3.3201,
27,Minnesota,Hydrocodone,2005,"Rate per 100,000",3.71501,
27,Minnesota,Hydrocodone,2006,"Rate per 100,000",4.15685,
27,Minnesota,Hydrocodone,2007,"Rate per 100,000",4.77729,
27,Minnesota,Hydrocodone,2008,"Rate per 100,000",6.37034,
27,Minnesota,Hydrocodone,2009,"Rate per 100,000",5.35599,
27,Minnesota,Hydrocodone,2010,"Rate per 100,000",5.21405,
27,Minnesota,Hydrocodone,2011,"Rate per 100,000",5.6622,
27,Minnesota,Hydrocodone,2012,"Rate per 100,000",5.49708,
27,Minnesota,Hydrocodone,2013,"Rate per 100,000",5.33026,
27,Minnesota,Hydrocodone,2014,"Rate per 100,000",5.05304,
27,Minnesota,Hydrocodone,2015,"Rate per 100,000",4.58704,
27,Minnesota,Hydrocodone,2016,"Rate per 100,000",4.00458,
27,Minnesota,Oxycodone,2017,"Rate per 100,000",10.75829,
27,Minnesota,Hydrocodone,2017,"Rate per 100,000",3.43544,
28,Mississippi,Hydrocodone,2017,"Rate per 100,000",15.66781,
28,Mississippi,Oxycodone,2017,"Rate per 100,000",14.12917,
28,Mississippi,Hydrocodone,2016,"Rate per 100,000",18.0364,
28,Mississippi,Hydrocodone,2015,"Rate per 100,000",19.14791,
28,Mississippi,Hydrocodone,2014,"Rate per 100,000",21.04225,
28,Mississippi,Hydrocodone,2013,"Rate per 100,000",27.15842,
28,Mississippi,Hydrocodone,2012,"Rate per 100,000",23.90421,
28,Mississippi,Hydrocodone,2011,"Rate per 100,000",23.22588,
28,Mississippi,Hydrocodone,2010,"Rate per 100,000",21.0519,
28,Mississippi,Hydrocodone,2009,"Rate per 100,000",20.1942,
28,Mississippi,Hydrocodone,2008,"Rate per 100,000",18.53444,
28,Mississippi,Hydrocodone,2007,"Rate per 100,000",21.02749,
28,Mississippi,Hydrocodone,2006,"Rate per 100,000",14.74666,
28,Mississippi,Hydrocodone,2005,"Rate per 100,000",12.4596,
28,Mississippi,Hydrocodone,2004,"Rate per 100,000",11.15202,
28,Mississippi,Hydrocodone,2003,"Rate per 100,000",10.06023,
28,Mississippi,Hydrocodone,2002,"Rate per 100,000",8.46064,
28,Mississippi,Hydrocodone,2001,"Rate per 100,000",6.93553,
28,Mississippi,Hydrocodone,2000,"Rate per 100,000",6.27895,
28,Mississippi,Oxycodone,2016,"Rate per 100,000",14.99596,
28,Mississippi,Oxycodone,2015,"Rate per 100,000",14.95558,
28,Mississippi,Oxycodone,2014,"Rate per 100,000",13.99021,
28,Mississippi,Oxycodone,2013,"Rate per 100,000",13.0107,
28,Mississippi,Oxycodone,2012,"Rate per 100,000",12.82407,
28,Mississippi,Oxycodone,2011,"Rate per 100,000",11.44799,
28,Mississippi,Oxycodone,2010,"Rate per 100,000",10.18157,
28,Mississippi,Oxycodone,2009,"Rate per 100,000",9.4632,
28,Mississippi,Oxycodone,2008,"Rate per 100,000",8.46521,
28,Mississippi,Oxycodone,2007,"Rate per 100,000",9.19854,
28,Mississippi,Oxycodone,2006,"Rate per 100,000",7.22178,
28,Mississippi,Oxycodone,2005,"Rate per 100,000",6.47783,
28,Mississippi,Oxycodone,2004,"Rate per 100,000",6.2865,
28,Mississippi,Oxycodone,2003,"Rate per 100,000",6.35963,
28,Mississippi,Oxycodone,2002,"Rate per 100,000",6.08878,
28,Mississippi,Oxycodone,2001,"Rate per 100,000",6.18503,
28,Mississippi,Oxycodone,2000,"Rate per 100,000",4.80409,
29,Missouri,Oxycodone,2000,"Rate per 100,000",8.79525,
29,Missouri,Oxycodone,2001,"Rate per 100,000",14.05803,
29,Missouri,Oxycodone,2002,"Rate per 100,000",16.51436,
29,Missouri,Oxycodone,2003,"Rate per 100,000",18.59739,
29,Missouri,Oxycodone,2004,"Rate per 100,000",21.38755,
29,Missouri,Oxycodone,2005,"Rate per 100,000",22.33051,
29,Missouri,Oxycodone,2006,"Rate per 100,000",17.51701,
29,Missouri,Oxycodone,2007,"Rate per 100,000",18.10075,
29,Missouri,Oxycodone,2008,"Rate per 100,000",20.15855,
29,Missouri,Oxycodone,2009,"Rate per 100,000",21.08175,
29,Missouri,Oxycodone,2010,"Rate per 100,000",23.43477,
29,Missouri,Oxycodone,2011,"Rate per 100,000",24.34245,
29,Missouri,Oxycodone,2012,"Rate per 100,000",24.94995,
29,Missouri,Oxycodone,2013,"Rate per 100,000",23.7122,
29,Missouri,Oxycodone,2014,"Rate per 100,000",23.26121,
29,Missouri,Oxycodone,2015,"Rate per 100,000",22.80034,
29,Missouri,Oxycodone,2016,"Rate per 100,000",22.16243,
29,Missouri,Hydrocodone,2000,"Rate per 100,000",4.36272,
29,Missouri,Hydrocodone,2001,"Rate per 100,000",5.04053,
29,Missouri,Hydrocodone,2002,"Rate per 100,000",6.10561,
29,Missouri,Hydrocodone,2003,"Rate per 100,000",7.40444,
29,Missouri,Hydrocodone,2004,"Rate per 100,000",8.15205,
29,Missouri,Hydrocodone,2005,"Rate per 100,000",9.32341,
29,Missouri,Hydrocodone,2006,"Rate per 100,000",10.19744,
29,Missouri,Hydrocodone,2007,"Rate per 100,000",11.35104,
29,Missouri,Hydrocodone,2008,"Rate per 100,000",12.21223,
29,Missouri,Hydrocodone,2009,"Rate per 100,000",13.12389,
29,Missouri,Hydrocodone,2010,"Rate per 100,000",13.3119,
29,Missouri,Hydrocodone,2011,"Rate per 100,000",16.23908,
29,Missouri,Hydrocodone,2012,"Rate per 100,000",16.1747,
29,Missouri,Hydrocodone,2013,"Rate per 100,000",16.56782,
29,Missouri,Hydrocodone,2014,"Rate per 100,000",16.29927,
29,Missouri,Hydrocodone,2015,"Rate per 100,000",14.16408,
29,Missouri,Hydrocodone,2016,"Rate per 100,000",13.1041,
29,Missouri,Oxycodone,2017,"Rate per 100,000",19.78099,
29,Missouri,Hydrocodone,2017,"Rate per 100,000",11.71103,
30,Montana,Hydrocodone,2017,"Rate per 100,000",10.39784,
30,Montana,Oxycodone,2017,"Rate per 100,000",15.39811,
30,Montana,Hydrocodone,2016,"Rate per 100,000",11.58823,
30,Montana,Hydrocodone,2015,"Rate per 100,000",12.32678,
30,Montana,Hydrocodone,2014,"Rate per 100,000",12.97773,
30,Montana,Hydrocodone,2013,"Rate per 100,000",13.75688,
30,Montana,Hydrocodone,2012,"Rate per 100,000",14.04362,
30,Montana,Hydrocodone,2011,"Rate per 100,000",13.86291,
30,Montana,Hydrocodone,2010,"Rate per 100,000",12.63116,
30,Montana,Hydrocodone,2009,"Rate per 100,000",11.98923,
30,Montana,Hydrocodone,2008,"Rate per 100,000",11.29736,
30,Montana,Hydrocodone,2007,"Rate per 100,000",10.30886,
30,Montana,Hydrocodone,2006,"Rate per 100,000",10.59421,
30,Montana,Hydrocodone,2005,"Rate per 100,000",9.02525,
30,Montana,Hydrocodone,2004,"Rate per 100,000",8.3826,
30,Montana,Hydrocodone,2003,"Rate per 100,000",7.56439,
30,Montana,Hydrocodone,2002,"Rate per 100,000",6.39594,
30,Montana,Hydrocodone,2001,"Rate per 100,000",4.98404,
30,Montana,Hydrocodone,2000,"Rate per 100,000",4.40866,
30,Montana,Oxycodone,2016,"Rate per 100,000",18.49613,
30,Montana,Oxycodone,2015,"Rate per 100,000",20.38339,
30,Montana,Oxycodone,2014,"Rate per 100,000",20.46034,
30,Montana,Oxycodone,2013,"Rate per 100,000",20.38456,
30,Montana,Oxycodone,2012,"Rate per 100,000",20.55394,
30,Montana,Oxycodone,2011,"Rate per 100,000",19.41807,
30,Montana,Oxycodone,2010,"Rate per 100,000",19.12758,
30,Montana,Oxycodone,2009,"Rate per 100,000",20.23816,
30,Montana,Oxycodone,2008,"Rate per 100,000",19.93361,
30,Montana,Oxycodone,2007,"Rate per 100,000",17.94229,
30,Montana,Oxycodone,2006,"Rate per 100,000",15.89467,
30,Montana,Oxycodone,2005,"Rate per 100,000",13.41738,
30,Montana,Oxycodone,2004,"Rate per 100,000",12.80305,
30,Montana,Oxycodone,2003,"Rate per 100,000",11.3695,
30,Montana,Oxycodone,2002,"Rate per 100,000",9.31386,
30,Montana,Oxycodone,2001,"Rate per 100,000",7.81704,
30,Montana,Oxycodone,2000,"Rate per 100,000",5.65346,
31,Nebraska,Oxycodone,2000,"Rate per 100,000",3.58271,
31,Nebraska,Oxycodone,2001,"Rate per 100,000",4.61269,
31,Nebraska,Oxycodone,2002,"Rate per 100,000",5.44522,
31,Nebraska,Oxycodone,2003,"Rate per 100,000",6.55483,
31,Nebraska,Oxycodone,2004,"Rate per 100,000",7.35267,
31,Nebraska,Oxycodone,2005,"Rate per 100,000",7.80776,
31,Nebraska,Oxycodone,2006,"Rate per 100,000",8.55075,
31,Nebraska,Oxycodone,2007,"Rate per 100,000",8.42415,
31,Nebraska,Oxycodone,2008,"Rate per 100,000",8.8907,
31,Nebraska,Oxycodone,2009,"Rate per 100,000",8.99881,
31,Nebraska,Oxycodone,2010,"Rate per 100,000",8.68656,
31,Nebraska,Oxycodone,2011,"Rate per 100,000",8.7423,
31,Nebraska,Oxycodone,2012,"Rate per 100,000",9.07589,
31,Nebraska,Oxycodone,2013,"Rate per 100,000",8.94386,
31,Nebraska,Oxycodone,2014,"Rate per 100,000",9.29268,
31,Nebraska,Oxycodone,2015,"Rate per 100,000",9.66823,
31,Nebraska,Oxycodone,2016,"Rate per 100,000",9.75749,
31,Nebraska,Hydrocodone,2000,"Rate per 100,000",3.4223,
31,Nebraska,Hydrocodone,2001,"Rate per 100,000",3.98319,
31,Nebraska,Hydrocodone,2002,"Rate per 100,000",4.7329,
31,Nebraska,Hydrocodone,2003,"Rate per 100,000",5.50566,
31,Nebraska,Hydrocodone,2004,"Rate per 100,000",5.79538,
31,Nebraska,Hydrocodone,2005,"Rate per 100,000",6.16837,
31,Nebraska,Hydrocodone,2006,"Rate per 100,000",6.91352,
31,Nebraska,Hydrocodone,2007,"Rate per 100,000",7.27077,
31,Nebraska,Hydrocodone,2008,"Rate per 100,000",7.64161,
31,Nebraska,Hydrocodone,2009,"Rate per 100,000",8.13997,
31,Nebraska,Hydrocodone,2010,"Rate per 100,000",8.08296,
31,Nebraska,Hydrocodone,2011,"Rate per 100,000",8.89286,
31,Nebraska,Hydrocodone,2012,"Rate per 100,000",9.14761,
31,Nebraska,Hydrocodone,2013,"Rate per 100,000",9.14323,
31,Nebraska,Hydrocodone,2014,"Rate per 100,000",9.08785,
31,Nebraska,Hydrocodone,2015,"Rate per 100,000",8.53837,
31,Nebraska,Hydrocodone,2016,"Rate per 100,000",8.01162,
31,Nebraska,Oxycodone,2017,"Rate per 100,000",9.10042,
31,Nebraska,Hydrocodone,2017,"Rate per 100,000",7.08278,
32,Nevada,Hydrocodone,2017,"Rate per 100,000",13.96115,
32,Nevada,Oxycodone,2017,"Rate per 100,000",26.56091,
32,Nevada,Hydrocodone,2016,"Rate per 100,000",15.54939,
32,Nevada,Hydrocodone,2015,"Rate per 100,000",16.77744,
32,Nevada,Hydrocodone,2014,"Rate per 100,000",21.11606,
32,Nevada,Hydrocodone,2013,"Rate per 100,000",25.86593,
32,Nevada,Hydrocodone,2012,"Rate per 100,000",29.60328,
32,Nevada,Hydrocodone,2011,"Rate per 100,000",32.38386,
32,Nevada,Hydrocodone,2010,"Rate per 100,000",31.08591,
32,Nevada,Hydrocodone,2009,"Rate per 100,000",38.16582,
32,Nevada,Hydrocodone,2008,"Rate per 100,000",35.17356,
32,Nevada,Hydrocodone,2007,"Rate per 100,000",33.36885,
32,Nevada,Hydrocodone,2006,"Rate per 100,000",30.25442,
32,Nevada,Hydrocodone,2005,"Rate per 100,000",24.40587,
32,Nevada,Hydrocodone,2004,"Rate per 100,000",26.85712,
32,Nevada,Hydrocodone,2003,"Rate per 100,000",23.12512,
32,Nevada,Hydrocodone,2002,"Rate per 100,000",20.36578,
32,Nevada,Hydrocodone,2001,"Rate per 100,000",13.06541,
32,Nevada,Hydrocodone,2000,"Rate per 100,000",10.17085,
32,Nevada,Oxycodone,2016,"Rate per 100,000",28.89757,
32,Nevada,Oxycodone,2015,"Rate per 100,000",29.5921,
32,Nevada,Oxycodone,2014,"Rate per 100,000",28.95706,
32,Nevada,Oxycodone,2013,"Rate per 100,000",31.08538,
32,Nevada,Oxycodone,2012,"Rate per 100,000",38.35799,
32,Nevada,Oxycodone,2011,"Rate per 100,000",37.34041,
32,Nevada,Oxycodone,2010,"Rate per 100,000",33.78669,
32,Nevada,Oxycodone,2009,"Rate per 100,000",38.29678,
32,Nevada,Oxycodone,2008,"Rate per 100,000",35.53311,
32,Nevada,Oxycodone,2007,"Rate per 100,000",35.655,
32,Nevada,Oxycodone,2006,"Rate per 100,000",25.74962,
32,Nevada,Oxycodone,2005,"Rate per 100,000",22.61217,
32,Nevada,Oxycodone,2004,"Rate per 100,000",21.69533,
32,Nevada,Oxycodone,2003,"Rate per 100,000",21.48985,
32,Nevada,Oxycodone,2002,"Rate per 100,000",16.71972,
32,Nevada,Oxycodone,2001,"Rate per 100,000",12.62009,
32,Nevada,Oxycodone,2000,"Rate per 100,000",7.86407,
33,New Hampshire,Oxycodone,2000,"Rate per 100,000",10.08951,
33,New Hampshire,Oxycodone,2001,"Rate per 100,000",11.57769,
33,New Hampshire,Oxycodone,2002,"Rate per 100,000",12.1054,
33,New Hampshire,Oxycodone,2003,"Rate per 100,000",12.90113,
33,New Hampshire,Oxycodone,2004,"Rate per 100,000",14.51692,
33,New Hampshire,Oxycodone,2005,"Rate per 100,000",15.52598,
33,New Hampshire,Oxycodone,2006,"Rate per 100,000",17.60931,
33,New Hampshire,Oxycodone,2007,"Rate per 100,000",21.38195,
33,New Hampshire,Oxycodone,2008,"Rate per 100,000",24.25437,
33,New Hampshire,Oxycodone,2009,"Rate per 100,000",27.28637,
33,New Hampshire,Oxycodone,2010,"Rate per 100,000",26.97151,
33,New Hampshire,Oxycodone,2011,"Rate per 100,000",27.08641,
33,New Hampshire,Oxycodone,2012,"Rate per 100,000",27.77162,
33,New Hampshire,Oxycodone,2013,"Rate per 100,000",27.11791,
33,New Hampshire,Oxycodone,2014,"Rate per 100,000",27.92464,
33,New Hampshire,Oxycodone,2015,"Rate per 100,000",25.99308,
33,New Hampshire,Oxycodone,2016,"Rate per 100,000",22.13126,
33,New Hampshire,Hydrocodone,2000,"Rate per 100,000",2.44783,
33,New Hampshire,Hydrocodone,2001,"Rate per 100,000",2.52227,
33,New Hampshire,Hydrocodone,2002,"Rate per 100,000",3.0292,
33,New Hampshire,Hydrocodone,2003,"Rate per 100,000",3.42354,
33,New Hampshire,Hydrocodone,2004,"Rate per 100,000",3.54324,
33,New Hampshire,Hydrocodone,2005,"Rate per 100,000",3.96027,
33,New Hampshire,Hydrocodone,2006,"Rate per 100,000",4.13797,
33,New Hampshire,Hydrocodone,2007,"Rate per 100,000",4.74616,
33,New Hampshire,Hydrocodone,2008,"Rate per 100,000",4.95995,
33,New Hampshire,Hydrocodone,2009,"Rate per 100,000",5.14365,
33,New Hampshire,Hydrocodone,2010,"Rate per 100,000",4.78034,
33,New Hampshire,Hydrocodone,2011,"Rate per 100,000",5.01269,
33,New Hampshire,Hydrocodone,2012,"Rate per 100,000",4.69658,
33,New Hampshire,Hydrocodone,2013,"Rate per 100,000",4.53422,
33,New Hampshire,Hydrocodone,2014,"Rate per 100,000",4.2199,
33,New Hampshire,Hydrocodone,2015,"Rate per 100,000",3.72215,
33,New Hampshire,Hydrocodone,2016,"Rate per 100,000",3.14256,
33,New Hampshire,Oxycodone,2017,"Rate per 100,000",18.94315,
33,New Hampshire,Hydrocodone,2017,"Rate per 100,000",2.74511,
34,New Jersey,Hydrocodone,2017,"Rate per 100,000",1.56508,
34,New Jersey,Oxycodone,2017,"Rate per 100,000",22.64941,
34,New Jersey,Hydrocodone,2016,"Rate per 100,000",1.89477,
34,New Jersey,Hydrocodone,2015,"Rate per 100,000",2.16577,
34,New Jersey,Hydrocodone,2014,"Rate per 100,000",2.66293,
34,New Jersey,Hydrocodone,2013,"Rate per 100,000",3.02488,
34,New Jersey,Hydrocodone,2012,"Rate per 100,000",3.20018,
34,New Jersey,Hydrocodone,2011,"Rate per 100,000",3.54532,
34,New Jersey,Hydrocodone,2010,"Rate per 100,000",3.36689,
34,New Jersey,Hydrocodone,2009,"Rate per 100,000",3.70194,
34,New Jersey,Hydrocodone,2008,"Rate per 100,000",4.57514,
34,New Jersey,Hydrocodone,2007,"Rate per 100,000",4.20134,
34,New Jersey,Hydrocodone,2006,"Rate per 100,000",3.34461,
34,New Jersey,Hydrocodone,2005,"Rate per 100,000",3.41213,
34,New Jersey,Hydrocodone,2004,"Rate per 100,000",3.31028,
34,New Jersey,Hydrocodone,2003,"Rate per 100,000",3.27078,
34,New Jersey,Hydrocodone,2002,"Rate per 100,000",2.84152,
34,New Jersey,Hydrocodone,2001,"Rate per 100,000",2.56983,
34,New Jersey,Hydrocodone,2000,"Rate per 100,000",2.51184,
34,New Jersey,Oxycodone,2016,"Rate per 100,000",26.79698,
34,New Jersey,Oxycodone,2015,"Rate per 100,000",28.66021,
34,New Jersey,Oxycodone,2014,"Rate per 100,000",28.93259,
34,New Jersey,Oxycodone,2013,"Rate per 100,000",28.9951,
34,New Jersey,Oxycodone,2012,"Rate per 100,000",30.15045,
34,New Jersey,Oxycodone,2011,"Rate per 100,000",31.80289,
34,New Jersey,Oxycodone,2010,"Rate per 100,000",29.17594,
34,New Jersey,Oxycodone,2009,"Rate per 100,000",27.06923,
34,New Jersey,Oxycodone,2008,"Rate per 100,000",23.43258,
34,New Jersey,Oxycodone,2007,"Rate per 100,000",20.62096,
34,New Jersey,Oxycodone,2006,"Rate per 100,000",18.44766,
34,New Jersey,Oxycodone,2005,"Rate per 100,000",15.42023,
34,New Jersey,Oxycodone,2004,"Rate per 100,000",14.36085,
34,New Jersey,Oxycodone,2003,"Rate per 100,000",13.14345,
34,New Jersey,Oxycodone,2002,"Rate per 100,000",9.53476,
34,New Jersey,Oxycodone,2001,"Rate per 100,000",8.1134,
34,New Jersey,Oxycodone,2000,"Rate per 100,000",6.57288,
35,New Mexico,Oxycodone,2000,"Rate per 100,000",4.92623,
35,New Mexico,Oxycodone,2001,"Rate per 100,000",6.68,
35,New Mexico,Oxycodone,2002,"Rate per 100,000",7.59846,
35,New Mexico,Oxycodone,2003,"Rate per 100,000",9.16653,
35,New Mexico,Oxycodone,2004,"Rate per 100,000",10.62394,
35,New Mexico,Oxycodone,2005,"Rate per 100,000",11.08151,
35,New Mexico,Oxycodone,2006,"Rate per 100,000",14.50089,
35,New Mexico,Oxycodone,2007,"Rate per 100,000",16.90777,
35,New Mexico,Oxycodone,2008,"Rate per 100,000",19.51837,
35,New Mexico,Oxycodone,2009,"Rate per 100,000",22.736,
35,New Mexico,Oxycodone,2010,"Rate per 100,000",23.67067,
35,New Mexico,Oxycodone,2011,"Rate per 100,000",25.59121,
35,New Mexico,Oxycodone,2012,"Rate per 100,000",25.16018,
35,New Mexico,Oxycodone,2013,"Rate per 100,000",21.72735,
35,New Mexico,Oxycodone,2014,"Rate per 100,000",22.78827,
35,New Mexico,Oxycodone,2015,"Rate per 100,000",22.98405,
35,New Mexico,Oxycodone,2016,"Rate per 100,000",21.52318,
35,New Mexico,Hydrocodone,2000,"Rate per 100,000",3.8748,
35,New Mexico,Hydrocodone,2001,"Rate per 100,000",4.56472,
35,New Mexico,Hydrocodone,2002,"Rate per 100,000",5.36825,
35,New Mexico,Hydrocodone,2003,"Rate per 100,000",6.18287,
35,New Mexico,Hydrocodone,2004,"Rate per 100,000",6.65716,
35,New Mexico,Hydrocodone,2005,"Rate per 100,000",6.99815,
35,New Mexico,Hydrocodone,2006,"Rate per 100,000",8.0536,
35,New Mexico,Hydrocodone,2007,"Rate per 100,000",9.09232,
35,New Mexico,Hydrocodone,2008,"Rate per 100,000",10.26703,
35,New Mexico,Hydrocodone,2009,"Rate per 100,000",11.23975,
35,New Mexico,Hydrocodone,2010,"Rate per 100,000",10.60337,
35,New Mexico,Hydrocodone,2011,"Rate per 100,000",11.35672,
35,New Mexico,Hydrocodone,2012,"Rate per 100,000",10.69054,
35,New Mexico,Hydrocodone,2013,"Rate per 100,000",10.00441,
35,New Mexico,Hydrocodone,2014,"Rate per 100,000",9.28725,
35,New Mexico,Hydrocodone,2015,"Rate per 100,000",8.66359,
35,New Mexico,Hydrocodone,2016,"Rate per 100,000",7.86354,
35,New Mexico,Oxycodone,2017,"Rate per 100,000",17.55014,
35,New Mexico,Hydrocodone,2017,"Rate per 100,000",6.67679,
36,New York,Hydrocodone,2017,"Rate per 100,000",3.50878,
36,New York,Oxycodone,2017,"Rate per 100,000",15.23216,
36,New York,Hydrocodone,2016,"Rate per 100,000",4.0928,
36,New York,Hydrocodone,2015,"Rate per 100,000",4.60069,
36,New York,Hydrocodone,2014,"Rate per 100,000",4.76908,
36,New York,Hydrocodone,2013,"Rate per 100,000",5.65478,
36,New York,Hydrocodone,2012,"Rate per 100,000",6.24342,
36,New York,Hydrocodone,2011,"Rate per 100,000",7.07401,
36,New York,Hydrocodone,2010,"Rate per 100,000",6.94807,
36,New York,Hydrocodone,2009,"Rate per 100,000",7.27142,
